team,season,Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Arsenal,2024-25,David Raya,es ESP,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arsenal,2024-25,William Saliba,fr FRA,DF,23.0,35,35,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.3,2.3,0.9,3.1,16.0,138.0,6.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Matches
Arsenal,2024-25,Declan Rice,eng ENG,MF,25.0,35,33,2825.0,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,3.5,3.5,6.6,10.1,90.0,192.0,94.0,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Matches
Arsenal,2024-25,Thomas Partey,gh GHA,"MF,DF",31.0,35,31,2797.0,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.3,2.3,2.1,4.3,36.0,185.0,48.0,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches
Arsenal,2024-25,Leandro Trossard,be BEL,FW,29.0,38,28,2546.0,28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,7.2,7.2,6.1,13.3,80.0,101.0,226.0,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,Matches
Arsenal,2024-25,Gabriel Magalhães,br BRA,DF,26.0,28,28,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.9,3.5,10.0,126.0,11.0,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Matches
Arsenal,2024-25,Jurriën Timber,nl NED,DF,23.0,30,27,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,0.8,2.1,57.0,146.0,104.0,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches
Arsenal,2024-25,Martin Ødegaard,no NOR,MF,25.0,30,26,2325.0,25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,4.8,4.0,5.4,9.5,92.0,258.0,154.0,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,Matches
Arsenal,2024-25,Gabriel Martinelli,br BRA,"FW,MF",23.0,33,25,2290.0,25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,7.4,7.4,5.0,12.4,124.0,52.0,289.0,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Matches
Arsenal,2024-25,Kai Havertz,de GER,"FW,MF",25.0,23,21,1875.0,20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,9.5,9.5,2.4,12.0,35.0,61.0,113.0,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,Matches
Arsenal,2024-25,Bukayo Saka,eng ENG,"FW,MF",22.0,25,20,1729.0,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,6.8,6.0,7.6,13.7,96.0,70.0,255.0,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,Matches
Arsenal,2024-25,Mikel Merino,es ESP,"MF,FW",28.0,28,17,1586.0,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,5.9,5.9,2.0,7.9,11.0,69.0,94.0,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,Matches
Arsenal,2024-25,Myles Lewis-Skelly,eng ENG,DF,17.0,23,15,1369.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.2,0.2,0.4,0.6,37.0,71.0,37.0,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,Matches
Arsenal,2024-25,Ben White,eng ENG,DF,26.0,17,13,1198.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.4,1.8,23.0,59.0,42.0,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,Matches
Arsenal,2024-25,Riccardo Calafiori,it ITA,DF,22.0,19,11,983.0,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.1,22.0,54.0,29.0,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,Matches
Arsenal,2024-25,Ethan Nwaneri,eng ENG,"FW,MF",17.0,26,11,895.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.2,1.2,1.2,2.4,46.0,33.0,113.0,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,Matches
Arsenal,2024-25,Jakub Kiwior,pl POL,DF,24.0,17,10,1122.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,5.0,48.0,1.0,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Arsenal,2024-25,Jorginho,it ITA,MF,32.0,15,9,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.4,0.5,12.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
Arsenal,2024-25,Raheem Sterling,eng ENG,"FW,MF",29.0,17,7,499.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,27.0,18.0,79.0,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34,Matches
Arsenal,2024-25,Gabriel Jesus,br BRA,FW,27.0,17,6,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7,3.7,15.0,19.0,57.0,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Matches
Arsenal,2024-25,Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,15,5,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,10.0,48.0,14.0,0.0,0.17,0.17,0.0,0.17,0.11,0.03,0.14,0.11,0.14,Matches
Arsenal,2024-25,Kieran Tierney,sct SCO,"DF,FW",27.0,13,2,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.4,1.7,8.0,15.0,29.0,0.35,0.0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,Matches
Arsenal,2024-25,Nathan Butler-Oyedeji,eng ENG,FW,21.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,Matches
Arsenal,2024-25,Takehiro Tomiyasu,jp JPN,DF,25.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches
Arsenal,2024-25,Reiss Nelson,eng ENG,FW,24.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arsenal,2024-25,Brayden Clarke,wls WAL,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Jimi Gower,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Ayden Heaven,eng ENG,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Jack Henry-Francis,ie IRL,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Ismeal Kabia,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Maldini Kacurri,al ALB,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Neto,br BRA,GK,35.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Josh Nichols,eng ENG,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Eddie Nketiah,eng ENG,FW,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Salah Oulad M'Hand,nl NED,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Jack Porter,eng ENG,GK,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Aaron Ramsdale,eng ENG,GK,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arsenal,2024-25,Tommy Setford,eng ENG,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
